datetime,region,demand_mwh,grid_stress_score,renewable_pct,anomaly_score,anomaly_type
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 19:00:00,MIDW,108404,0.24785988659228095,0.22043168099506127,-0.0905400349218316,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 18:00:00,MIDW,110418,0.24725023735736165,0.2166400945846694,-0.0903102641619088,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 17:00:00,MIDW,112385,0.249848825731639,0.21305789974478226,-0.0898985698511946,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 21:00:00,MIDW,104961,0.24474420556825072,0.2322063144149606,-0.08968448364068737,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-16 20:00:00,MIDW,106447,0.24660146042218803,0.22910836406768353,-0.08893869623497319,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 21:00:00,MIDW,106110,0.26178798405242176,0.18289385386649826,-0.08327272602121072,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 19:00:00,MIDW,106634,0.26320284346151945,0.16323246285234733,-0.08295768769050615,Demand Spike
2024-01-15 18:00:00,MIDW,107261,0.26580016850869803,0.15136045992962283,-0.0829523100706192,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-17 21:00:00,MIDA,120806,0.23599162349484673,0.07250521578096064,-0.0827869320763277,Demand Spike
2024-01-15 18:00:00,MIDW,107261,0.26580016850869803,0.15136045992962283,-0.08272510575196568,Demand Spike
2024-01-15 18:00:00,MIDW,107261,0.26580016850869803,0.15136045992962283,-0.08272510575196568,Demand Spike
2024-01-15 18:00:00,MIDW,107261,0.26580016850869803,0.15136045992962283,-0.08272510575196568,Demand Spike
2024-01-15 18:00:00,MIDW,107261,0.26580016850869803,0.15136045992962283,-0.08272510575196568,Demand Spike
